subjnumb;mvliking;kidtrans;miniboxy;lthrbetr;secbiggr;safeimpt;buyhghnd;pricqual;prmsound;perfimpt;tkvacatn;noparkrm;homlrgst;envrminr;needbetw;suvcmpct;next2str;carefmny;shdcarpl;imprtapp;lk4whldr;kidsbulk;wntguzlr;nordtrps;stylclth;strngwrn;passnimp;twoincom;nohummer;aftrschl;accesfun;age;income;miles;numkids;female;educ;recycle
175;5;6;4;4;3;6;6;5;5;3;4;5;6;6;2;3;6;5;4;6;6;6;6;1;6;7;6;4;5;6;5;49;96;23;3;1;4;3
176;9;5;9;4;7;5;6;4;5;6;6;7;5;4;8;6;3;4;8;5;5;5;3;6;6;5;4;6;5;4;5;46;72;24;1;0;3;5
177;4;5;2;6;3;6;6;5;5;4;5;3;9;5;4;2;6;5;6;5;7;5;4;5;6;6;5;4;4;3;6;55;100;21;1;1;3;3
178;9;9;5;4;7;4;5;5;6;6;5;6;5;6;5;5;3;4;5;5;4;8;4;2;7;3;5;5;6;7;6;42;70;28;3;1;3;3
179;7;6;5;5;1;7;6;5;7;3;5;6;5;5;7;6;2;4;6;6;6;5;6;4;7;6;5;9;5;6;6;53;63;23;3;1;4;2
180;1;5;1;6;3;6;6;6;6;3;6;2;9;5;2;2;7;4;6;6;7;5;5;6;5;7;5;6;4;5;6;55;130;17;1;1;4;3
181;3;6;4;4;4;6;4;5;5;5;4;4;5;5;5;4;5;5;5;4;6;5;6;3;6;4;6;5;5;5;8;40;44;18;2;1;3;3
182;1;2;4;1;5;6;2;3;1;5;2;3;4;7;5;4;4;8;5;2;5;2;6;7;3;5;9;2;3;2;2;19;21;9;0;0;2;4
183;7;4;6;4;6;5;6;6;5;6;4;6;4;6;6;5;2;5;6;4;5;4;4;5;6;4;6;5;8;4;5;36;47;18;1;1;3;3
184;1;3;4;4;3;4;4;6;5;5;5;4;6;3;3;3;5;5;7;4;5;3;4;7;6;5;5;6;5;3;5;35;55;13;0;0;3;5
185;9;9;6;4;8;5;6;5;5;4;5;7;4;5;7;7;3;4;7;3;6;7;3;5;7;4;4;6;6;4;5;39;51;23;2;1;3;5
186;1;4;5;3;7;4;4;2;3;5;5;4;5;4;5;5;3;7;8;8;5;4;4;7;5;4;7;3;6;4;4;31;42;18;0;1;3;5
187;3;4;3;6;2;4;6;6;6;5;5;3;7;3;4;3;5;5;7;4;6;5;3;6;5;5;6;5;2;3;5;40;93;16;1;1;3;4
188;7;3;5;2;5;5;3;1;3;6;2;5;4;7;6;4;4;8;4;2;5;3;6;6;3;4;9;3;5;4;3;28;18;13;1;0;1;3
189;3;3;5;2;5;3;2;2;3;8;3;5;3;5;5;6;3;8;5;2;4;3;6;7;4;1;7;3;4;4;2;23;15;12;1;0;1;4
190;1;7;3;5;5;4;7;6;8;8;6;3;8;6;5;1;7;4;6;6;4;6;3;5;7;3;3;5;3;5;7;52;226;23;2;0;3;3
191;9;4;7;4;7;5;6;4;4;5;6;7;5;3;6;7;3;4;7;4;6;4;4;5;7;6;6;6;8;4;5;44;71;23;2;0;4;5
192;6;5;3;4;3;1;1;5;6;8;9;3;7;6;5;3;6;4;5;5;2;3;6;5;5;4;6;6;5;5;5;35;92;18;1;0;2;2
193;1;7;3;3;5;7;3;3;4;4;3;3;6;6;5;5;5;6;5;3;6;5;7;3;1;5;7;3;3;7;3;30;22;19;2;1;3;2
194;3;3;6;3;5;6;4;3;4;3;3;4;5;5;4;4;8;7;5;4;6;3;4;7;4;7;7;6;4;3;2;37;32;14;0;0;3;4
195;9;7;6;4;7;4;6;7;6;6;5;6;4;6;7;7;3;4;4;6;4;5;6;3;7;4;3;5;6;6;5;45;131;27;3;0;2;1
196;1;3;4;3;6;4;4;4;3;5;3;5;6;6;5;3;4;6;4;4;5;3;6;8;3;5;7;5;5;3;3;28;31;9;0;0;2;3
197;9;4;4;2;6;5;3;4;4;5;2;5;4;7;6;3;4;7;4;4;5;4;6;5;5;5;7;4;6;3;3;28;42;15;0;0;2;4
198;6;3;8;4;7;5;8;8;5;4;5;7;5;6;9;6;3;4;6;5;7;4;5;8;6;5;5;6;7;3;5;39;68;15;0;0;4;4
199;9;6;6;6;7;8;6;6;6;3;6;6;7;5;9;5;4;4;7;7;1;6;4;5;6;9;5;5;6;7;6;53;123;32;1;1;4;3
200;1;5;3;5;3;5;5;4;6;5;6;3;7;3;4;4;5;5;9;4;6;4;3;6;5;5;6;3;4;4;6;41;83;16;1;1;3;5
201;8;4;6;5;7;3;7;6;4;5;6;5;4;4;6;7;2;4;6;6;5;4;4;6;7;3;1;6;5;4;6;41;77;21;1;0;3;3
202;4;4;9;3;5;3;2;2;4;6;3;4;6;3;3;4;4;8;5;2;3;3;3;7;5;2;8;3;4;3;4;28;18;9;0;1;2;5
203;8;7;3;6;3;4;6;6;5;5;6;3;7;6;3;4;6;5;5;5;5;6;6;3;5;7;4;6;3;6;5;47;86;21;2;1;3;1
204;2;4;5;2;5;4;5;3;1;3;2;5;4;7;5;4;5;6;3;4;4;4;7;4;4;4;7;5;5;3;3;28;29;16;1;0;2;3
205;1;4;4;6;4;7;7;8;7;4;6;3;9;5;3;4;6;4;7;6;9;4;3;5;6;7;5;8;3;5;6;51;93;17;2;1;4;4
206;1;5;3;6;3;9;7;5;7;1;6;4;8;5;5;3;7;4;7;5;9;4;4;5;7;9;6;5;5;6;5;54;138;22;1;1;4;4
207;2;4;5;3;4;8;4;4;5;4;3;6;5;8;4;4;5;7;2;3;7;4;6;5;3;6;7;4;6;4;3;37;36;17;1;1;3;2
208;9;3;4;5;3;3;7;7;6;7;5;4;7;6;5;4;7;3;6;6;5;4;5;6;5;6;5;9;4;3;6;46;78;12;1;0;3;3
209;7;1;5;3;6;6;5;5;3;4;2;3;4;6;6;4;3;7;5;2;6;1;6;8;3;3;8;5;6;1;3;32;35;9;0;0;2;3
210;9;4;6;9;6;4;5;7;2;5;4;5;4;9;7;5;4;7;3;4;5;4;8;7;5;3;7;6;5;4;3;36;66;13;0;0;2;1
211;3;6;3;5;4;5;6;6;1;6;6;3;7;7;3;3;9;5;6;5;6;6;6;5;7;6;4;5;5;5;6;41;98;21;1;1;3;3
212;1;4;6;4;7;4;7;6;5;4;4;6;5;1;5;6;3;4;6;5;5;4;3;7;6;4;5;5;7;2;5;44;77;14;0;1;3;5
213;6;4;4;2;4;4;3;3;2;5;2;5;2;7;6;5;5;7;1;2;4;4;7;7;3;3;8;2;5;4;3;27;23;13;1;0;1;3
214;7;3;3;5;4;3;6;5;6;6;5;3;7;4;3;3;6;5;7;6;4;3;2;7;7;6;6;5;4;3;5;45;108;13;0;0;4;5
215;6;3;5;5;6;6;7;6;6;6;6;4;5;6;5;4;6;5;5;4;5;3;4;6;6;7;6;8;4;4;6;51;78;18;1;0;4;3
216;4;4;6;4;5;5;5;4;3;4;4;6;4;6;5;5;3;5;4;3;6;3;6;6;5;5;6;3;4;3;1;36;31;19;0;0;3;2
217;8;6;3;6;4;5;8;8;7;7;5;3;7;8;4;2;7;4;2;6;5;5;6;5;5;5;6;8;3;5;5;53;158;18;1;0;4;1
218;5;3;7;5;7;8;8;7;6;3;4;7;5;6;6;6;3;4;4;5;9;3;5;7;6;7;6;6;6;4;4;47;91;18;0;1;4;2
219;3;6;4;4;6;8;5;4;4;2;3;4;6;9;5;5;4;7;2;4;6;5;8;4;3;8;8;9;3;5;2;35;28;19;2;1;3;1
220;2;5;2;5;5;7;6;8;6;5;7;2;8;5;3;2;1;5;5;5;6;5;5;5;6;6;2;4;4;5;5;38;81;21;1;1;3;2
221;2;4;7;4;6;4;7;5;5;5;4;7;3;6;6;6;3;2;4;4;4;3;5;6;6;5;5;7;7;4;8;44;87;16;1;0;3;3
222;4;2;5;3;6;5;4;4;4;5;2;4;4;7;6;5;5;7;5;3;5;2;6;8;4;3;9;5;4;1;3;34;24;7;0;0;2;4
223;5;3;4;5;5;5;6;6;7;6;5;4;8;5;5;3;5;4;6;6;6;4;5;7;5;5;5;6;3;4;6;47;122;13;0;0;4;3
224;2;4;5;2;6;5;4;3;3;6;3;4;5;6;4;5;3;7;4;4;5;4;8;5;5;4;6;4;5;3;3;29;26;15;1;0;1;3
225;5;5;3;6;3;4;7;7;6;8;6;3;7;5;5;4;6;4;5;6;5;4;4;7;7;6;4;7;3;4;7;57;142;14;0;0;3;3
226;7;4;4;3;1;5;4;4;3;4;2;5;4;7;4;4;5;6;4;3;6;4;7;8;4;5;7;5;5;4;3;28;19;11;0;0;2;3
227;2;7;5;5;6;6;6;5;7;4;6;6;5;5;5;7;3;4;6;7;6;7;5;3;6;7;5;6;5;6;6;38;92;30;4;1;4;2
228;3;3;5;3;6;7;3;4;2;3;3;1;6;1;5;4;3;7;6;4;7;3;5;7;5;6;8;3;5;3;3;24;47;15;0;1;3;5
229;7;4;7;4;7;5;7;5;5;5;5;6;5;4;8;7;3;4;6;6;5;4;3;5;7;4;5;5;8;3;6;37;70;21;2;0;4;4
230;5;1;5;2;5;3;4;4;4;6;3;4;5;6;4;4;4;7;5;2;3;2;7;9;4;4;9;4;4;2;9;31;49;8;0;0;3;5
231;8;4;5;4;6;3;4;5;4;6;4;4;5;4;5;5;1;6;5;3;4;3;5;7;4;3;8;3;4;3;4;34;39;13;0;0;2;4
232;4;6;3;6;5;4;5;4;7;5;7;5;7;4;4;5;6;4;7;4;5;5;3;4;7;5;4;4;4;5;6;45;50;23;2;1;3;4
233;1;4;3;4;3;4;5;4;6;6;4;3;7;5;4;2;5;6;7;5;3;4;3;6;5;4;6;6;3;4;4;42;41;16;1;0;3;4
234;3;6;3;8;5;6;6;6;3;5;4;3;6;8;5;4;6;5;4;5;5;6;5;5;5;6;6;5;4;5;5;52;86;16;1;1;3;1
235;6;6;4;7;6;6;6;6;5;5;6;4;7;5;3;3;6;4;5;5;6;6;5;5;5;5;5;5;3;5;5;49;97;18;1;1;4;2
236;6;4;3;3;4;5;5;6;5;5;4;3;7;4;2;3;6;6;5;5;5;9;4;7;4;4;6;5;4;4;3;41;69;17;0;1;3;5
237;8;8;3;6;3;2;7;6;6;7;6;3;8;6;5;5;6;4;4;4;3;7;5;2;8;3;4;5;2;6;7;60;200;18;3;0;2;1
238;9;4;7;4;6;4;8;7;7;4;5;6;5;6;6;7;3;4;6;3;5;3;5;6;6;5;5;6;5;4;6;46;108;17;1;0;3;2
239;1;6;4;3;6;6;3;2;3;5;4;4;6;5;4;5;4;7;6;4;4;4;6;5;6;6;7;2;3;4;3;40;37;16;1;1;3;3
240;8;4;7;5;7;5;6;5;6;5;5;6;5;5;6;6;3;4;6;6;5;5;4;5;6;6;5;6;5;3;6;41;93;20;2;0;4;4
241;7;4;6;2;6;4;4;4;4;6;4;5;3;5;6;6;2;6;4;3;4;3;6;5;5;3;7;4;5;2;4;37;30;19;1;0;2;3
242;9;7;7;5;7;6;7;6;7;4;5;7;5;5;6;7;4;3;5;7;6;6;4;3;7;6;4;6;7;5;7;48;138;21;3;1;4;3
243;8;5;6;5;7;5;7;7;5;4;6;5;4;6;7;6;4;4;4;5;6;4;4;5;8;5;4;7;6;8;5;47;84;24;2;1;3;2
244;1;3;4;3;6;6;3;4;3;4;4;3;5;6;4;4;5;8;4;5;6;2;7;7;3;7;7;4;4;3;3;30;26;10;0;1;3;3
245;5;7;2;6;3;7;6;6;6;4;5;3;8;7;2;4;8;5;4;5;7;6;6;5;5;7;6;7;4;8;6;57;120;20;2;1;4;2
246;2;4;4;8;5;5;3;4;4;6;2;5;6;6;6;4;3;9;6;3;4;4;6;6;6;5;7;3;6;4;3;30;46;14;2;0;1;4
247;3;6;5;4;5;4;5;6;3;6;3;5;5;9;5;6;4;6;2;4;4;4;8;5;5;3;5;6;6;4;4;40;74;17;1;0;2;1
248;5;4;2;5;1;8;6;6;5;4;6;3;7;7;2;3;7;5;9;4;7;4;8;7;6;7;6;6;4;5;5;48;88;18;0;1;4;3
249;8;5;4;3;4;6;4;3;4;4;3;5;5;7;4;5;4;6;4;3;6;4;6;5;4;4;8;3;9;5;4;32;27;20;1;1;3;4
250;5;6;4;2;4;4;2;2;4;5;3;3;2;5;6;4;4;7;5;4;3;4;5;5;2;3;8;2;3;5;3;31;19;20;1;1;2;4
251;4;6;2;5;3;3;5;7;5;5;5;3;7;6;2;2;6;5;4;4;5;7;5;5;5;5;3;6;2;7;5;40;73;21;1;1;2;1
252;4;3;4;2;6;3;5;4;4;8;3;5;5;5;6;4;3;7;6;2;4;2;6;6;3;4;6;3;4;3;4;30;35;15;0;0;1;4
253;8;4;6;5;6;6;6;6;6;4;4;6;5;5;5;7;4;4;6;6;7;4;5;7;6;5;6;7;7;3;5;45;59;16;1;0;4;4
254;6;5;7;5;6;7;7;5;5;4;9;7;3;5;6;7;3;3;5;5;7;4;5;6;7;5;4;8;7;5;5;43;80;25;1;1;3;2
255;8;7;6;4;7;6;6;4;6;4;4;6;1;7;8;7;3;4;5;6;7;5;6;4;6;5;5;6;8;6;5;47;70;22;3;1;3;2
256;3;3;5;4;6;7;6;4;5;3;3;5;6;6;4;4;4;7;5;3;6;2;7;8;4;5;6;6;4;3;4;32;31;12;0;1;3;3
257;3;7;4;6;5;9;6;4;6;5;6;3;7;4;5;4;6;4;6;5;4;6;3;4;6;6;4;6;3;7;9;52;100;24;2;1;4;3
258;9;4;5;2;7;1;4;5;2;8;3;6;4;8;6;5;4;7;2;3;1;3;7;6;3;2;7;4;5;3;3;27;36;11;0;0;1;1
259;5;5;4;3;5;3;5;7;2;8;4;4;6;7;4;3;4;7;4;2;3;8;6;5;4;4;7;5;3;4;4;35;55;17;1;0;1;2
260;3;4;5;5;6;2;5;5;5;7;4;6;5;3;5;6;4;4;7;5;4;3;2;5;8;2;7;5;6;3;6;37;54;18;1;0;2;5
261;1;4;4;6;5;5;7;7;7;4;6;3;8;3;5;4;5;4;7;5;6;4;4;6;7;6;5;5;4;5;6;52;229;20;1;1;3;4
262;5;6;2;6;3;3;6;5;4;6;5;3;8;5;3;4;7;4;5;5;4;6;5;3;5;4;5;6;4;6;6;41;104;20;1;1;2;3
263;5;7;4;6;5;7;6;5;5;4;6;4;6;6;4;4;6;4;5;6;5;6;4;4;5;7;6;1;3;6;6;55;80;23;2;1;4;3
264;6;4;5;3;6;4;6;6;3;6;2;5;1;8;7;6;4;6;3;3;3;3;7;5;5;4;8;3;7;3;3;33;67;12;1;0;1;3
265;3;5;2;6;2;5;6;6;5;4;6;4;8;4;4;2;7;4;6;6;6;4;4;7;7;9;4;7;3;5;6;44;138;18;0;1;4;3
266;8;6;7;6;6;8;7;5;5;3;5;6;6;3;6;7;2;4;7;5;7;6;4;3;8;6;5;6;7;5;8;50;83;26;4;1;4;4
267;6;4;4;2;6;5;3;4;3;4;3;4;5;6;5;5;4;7;5;2;6;4;7;5;4;4;7;4;4;3;2;29;17;16;1;1;2;4
268;5;2;4;2;5;3;5;7;4;7;3;3;5;7;3;3;4;7;3;1;3;2;6;9;2;2;8;4;5;2;3;25;47;8;0;0;2;3
269;7;7;6;6;7;7;8;7;8;3;6;6;6;7;7;6;4;2;5;6;7;7;4;3;7;6;4;7;6;5;6;58;167;28;4;1;4;1
270;5;4;4;4;4;6;5;5;3;5;4;2;5;6;3;4;4;6;5;3;6;4;6;5;4;5;6;3;4;3;3;38;51;12;1;0;3;2
271;5;4;4;4;5;4;5;5;6;6;5;3;6;4;3;4;5;4;7;6;5;5;5;7;7;5;5;4;3;4;6;39;120;14;0;1;3;4
272;9;7;3;5;4;3;5;4;4;6;5;5;7;6;3;4;5;5;5;5;4;6;6;3;5;3;4;3;5;6;5;40;60;19;3;0;2;2
273;5;2;3;6;4;5;5;6;3;6;6;4;7;3;5;3;6;4;9;3;5;3;3;7;6;5;5;5;5;3;5;43;55;18;0;0;4;5
274;8;5;4;3;5;6;4;4;4;5;4;9;5;7;6;6;5;6;4;3;5;5;5;4;4;4;7;3;6;4;4;36;22;21;1;1;3;3
275;8;5;7;5;6;3;6;4;5;6;5;7;5;4;8;7;3;5;6;8;4;6;4;4;6;2;3;7;7;4;5;41;73;23;2;0;3;3
276;3;6;3;6;3;6;6;6;6;4;6;3;9;3;3;4;7;4;6;7;4;6;4;4;7;6;4;6;3;4;7;49;132;22;2;1;4;4
277;6;5;6;5;7;5;7;6;5;6;6;6;5;4;7;6;5;3;6;4;4;6;4;5;7;5;5;6;6;4;6;48;85;21;2;0;4;5
278;7;6;4;5;7;3;5;5;5;8;6;6;6;3;1;6;4;4;8;4;3;6;3;5;6;2;5;4;6;4;1;39;42;18;1;0;3;5
279;1;4;8;3;6;5;4;3;3;5;4;4;5;3;5;6;3;5;7;5;4;4;3;6;5;5;6;4;6;2;5;36;30;19;0;1;2;5
280;9;7;7;5;8;3;6;5;4;7;5;7;4;5;6;7;3;4;5;6;4;7;4;4;6;5;5;4;7;5;5;44;56;25;3;1;3;4
281;2;6;3;4;4;4;5;6;4;5;5;2;7;6;3;2;5;5;4;6;4;5;5;5;5;5;5;4;4;6;6;38;113;20;2;1;2;2
282;6;4;5;3;6;5;4;4;3;4;3;5;6;6;5;5;3;1;3;2;5;2;6;6;4;5;7;5;5;2;3;38;32;13;1;0;2;2
283;9;4;7;6;7;3;8;6;6;5;7;8;4;3;7;7;3;3;7;6;6;4;2;5;6;5;5;6;7;4;6;46;78;24;2;0;4;3
284;3;4;7;6;7;9;8;6;7;1;6;7;6;1;6;6;4;3;7;6;9;4;3;6;7;8;5;6;5;6;7;47;112;22;1;1;4;5
285;4;5;4;5;4;6;7;7;6;3;5;3;6;7;3;4;5;4;4;6;7;4;5;6;5;6;6;5;2;5;6;53;124;17;0;0;4;1
286;1;5;5;4;5;6;4;3;4;4;3;3;5;5;6;5;3;7;5;3;6;5;5;5;4;5;7;4;5;3;4;33;21;17;1;1;3;4
287;4;3;4;2;6;5;4;3;3;3;3;4;5;5;4;5;4;7;5;3;6;3;5;6;5;4;7;3;5;3;3;29;22;15;0;0;3;5
288;2;4;3;6;5;5;6;5;5;6;6;3;7;5;4;5;6;5;6;5;5;5;4;5;6;5;4;6;3;3;5;45;105;18;1;0;3;3
289;9;7;6;5;6;3;7;6;4;7;6;8;6;6;7;7;5;4;5;6;4;6;4;4;7;6;4;8;5;6;7;47;101;24;3;0;3;2
290;9;4;6;3;7;6;5;4;4;3;3;7;4;8;6;5;2;7;3;2;5;4;8;6;5;4;8;5;5;4;3;35;38;16;1;1;2;1
291;9;7;6;5;8;6;8;6;7;9;6;6;5;6;8;7;4;4;4;6;5;6;6;3;7;5;1;8;6;6;6;49;164;25;4;1;3;1
292;2;3;5;4;6;5;4;4;4;5;4;3;6;6;4;4;4;6;6;4;5;3;7;7;5;6;7;3;3;3;4;36;39;11;0;1;3;3
293;5;4;5;3;6;4;4;5;4;7;4;4;4;6;4;5;5;6;4;3;4;4;7;7;4;3;7;6;6;4;4;39;30;13;0;0;2;3
294;7;5;6;4;8;5;5;4;5;5;8;7;4;2;7;6;2;5;7;5;5;4;2;4;6;4;6;3;7;4;5;36;43;28;3;1;4;5
295;5;4;6;4;7;6;7;4;7;4;6;6;4;5;5;6;4;4;7;5;7;4;5;7;7;7;4;7;7;3;5;43;96;22;1;1;4;5
296;7;4;4;3;5;4;4;3;3;5;3;5;6;5;5;5;3;6;6;4;4;3;5;7;5;4;6;4;5;3;3;32;62;13;0;0;2;5
297;4;4;2;5;4;6;6;7;5;3;5;3;8;6;3;3;6;5;5;9;7;4;6;6;6;5;6;9;2;3;5;45;186;14;0;0;4;3
298;8;5;6;6;7;4;7;5;6;6;5;6;5;6;7;6;4;3;5;6;5;6;5;5;8;4;4;8;8;5;6;48;105;18;2;0;3;2
299;7;7;7;5;9;7;7;5;5;4;5;7;4;6;7;9;2;4;5;6;8;6;5;3;7;5;3;5;6;7;8;47;83;30;3;1;4;1
300;7;7;3;6;4;5;5;6;4;4;5;3;8;5;3;3;6;5;6;5;6;6;6;3;5;6;1;5;2;6;5;46;50;18;2;1;3;2
301;8;4;7;5;6;5;8;6;5;6;6;6;5;5;7;7;4;4;9;6;6;4;4;5;7;6;6;8;5;3;6;48;82;20;1;1;4;4
302;1;2;5;3;5;6;4;3;4;3;3;4;6;4;5;3;4;6;6;4;6;1;5;7;5;5;7;4;2;2;4;30;49;8;0;1;3;5
303;5;5;4;6;4;2;6;7;6;7;6;3;7;3;4;4;4;4;8;6;3;5;2;6;7;3;3;6;4;4;7;42;133;18;1;0;2;5
304;9;5;6;5;6;6;8;7;1;5;6;7;4;5;8;8;4;3;6;5;6;5;4;4;8;5;5;6;8;5;6;50;81;22;2;0;4;4
305;9;4;6;3;6;1;4;3;3;8;2;6;3;7;5;6;5;7;3;2;2;3;6;6;4;2;7;5;5;3;3;26;22;10;1;0;1;2
306;2;3;5;6;5;7;6;5;5;5;4;4;6;5;6;4;5;4;6;5;7;3;3;6;6;8;5;5;4;4;5;43;95;18;0;1;4;4
307;9;5;6;5;6;4;6;5;5;4;4;6;5;5;5;7;3;5;5;3;5;4;5;6;6;6;4;6;6;5;5;39;48;17;1;0;3;3
308;8;8;6;4;6;7;6;5;5;3;4;7;5;7;6;6;5;4;3;5;7;7;7;2;5;6;3;7;5;7;5;52;53;23;4;1;3;1
309;4;7;3;5;3;4;6;6;6;5;6;3;7;8;2;4;7;5;4;6;4;7;6;4;5;6;5;5;4;6;5;47;104;21;2;1;3;1
310;1;7;3;4;3;4;4;5;3;4;5;3;6;5;2;4;6;7;6;4;6;6;6;3;4;6;4;2;2;6;4;37;53;22;2;1;2;3
311;4;4;5;2;4;6;5;6;4;5;3;5;5;7;6;4;5;7;4;4;5;3;1;6;5;6;7;5;6;4;4;33;48;16;0;1;3;5
312;4;4;5;3;5;5;4;3;5;4;4;5;6;7;6;5;3;7;3;4;6;4;7;5;4;4;7;3;5;3;2;35;43;16;1;1;2;2
313;3;3;6;2;6;3;3;3;3;6;2;9;4;5;7;6;3;7;5;2;2;3;9;7;5;3;7;4;4;2;3;21;26;8;0;0;1;2
314;5;6;5;4;6;6;6;4;5;4;4;5;6;5;5;7;3;5;4;4;5;6;4;5;7;5;4;4;6;4;6;37;61;21;1;1;3;3
315;1;4;6;3;6;6;4;4;2;4;3;4;5;6;4;4;4;7;5;3;6;3;5;7;3;7;7;3;5;4;3;30;22;17;0;1;3;4
316;8;4;6;4;7;9;6;6;5;6;4;6;4;1;7;5;3;5;5;4;6;3;5;6;6;4;7;6;5;4;5;46;59;16;2;1;4;4
317;1;5;4;4;6;5;4;5;4;5;3;4;5;8;6;5;4;7;3;3;4;4;6;5;6;5;6;3;4;4;4;32;29;14;1;1;2;1
318;6;7;7;5;8;8;1;6;6;4;5;7;4;5;8;6;2;4;5;7;6;7;5;3;6;7;6;6;7;5;4;39;34;29;4;1;4;3
319;7;4;5;5;7;5;7;6;5;6;5;6;5;4;7;6;4;5;5;4;6;5;5;5;7;5;4;6;4;3;6;43;111;18;1;0;4;3
320;3;5;4;5;5;4;5;4;4;5;6;5;7;4;4;4;6;5;6;6;4;5;3;5;7;6;5;4;4;4;6;43;108;19;1;0;3;4
321;3;5;4;2;5;5;2;5;2;5;2;4;5;5;4;3;5;7;5;3;6;4;5;4;3;4;7;3;3;3;3;28;29;15;1;1;1;5
322;2;5;7;5;5;4;7;6;7;6;5;7;4;4;7;7;3;4;7;5;6;5;5;6;8;5;5;5;8;5;6;43;112;19;2;1;4;4
323;3;5;4;2;5;3;3;2;2;4;2;4;5;6;5;5;4;8;6;4;4;4;6;5;3;3;7;1;3;3;2;24;20;13;0;1;1;4
324;9;7;5;5;6;8;6;5;5;4;5;6;5;6;6;9;4;4;5;6;8;7;6;4;7;7;4;5;7;7;6;52;100;29;2;1;4;2
325;7;4;4;3;4;3;4;4;3;7;3;4;5;4;5;5;6;6;7;3;3;4;3;6;4;2;7;4;3;3;4;41;35;15;1;0;1;5
326;9;5;6;6;5;5;9;7;6;5;5;6;5;7;5;6;4;3;4;6;5;5;6;6;8;1;5;9;6;4;5;48;152;18;1;0;3;1
327;1;4;5;2;6;5;4;3;3;4;2;5;4;7;4;5;3;7;5;3;5;3;7;5;4;4;7;3;6;4;3;29;21;15;1;1;2;3
328;4;5;3;4;4;5;4;3;5;6;5;2;7;5;4;4;5;6;5;5;6;4;4;5;4;6;7;3;5;5;4;41;44;16;1;1;3;4
329;6;6;5;2;9;3;4;4;5;7;4;4;6;8;6;9;4;7;4;3;3;5;6;5;4;2;6;4;6;4;3;29;55;20;1;0;2;3
330;9;8;6;5;6;9;6;5;6;1;8;7;6;5;8;6;4;1;5;5;9;7;4;3;7;8;5;4;5;8;5;56;125;28;4;1;4;2
331;5;5;6;6;7;5;8;6;7;6;7;7;5;4;7;7;5;3;6;5;6;6;4;5;7;6;4;8;6;4;6;53;158;23;2;0;4;3
332;1;5;5;4;7;6;4;5;3;4;1;4;5;7;5;5;4;7;4;4;6;4;7;4;4;9;6;4;9;5;3;26;31;18;2;1;3;3
333;8;7;5;6;6;6;7;6;7;4;8;4;7;5;4;5;6;3;5;6;5;6;4;3;8;5;4;7;5;6;6;60;170;24;2;1;4;3
334;1;6;6;4;7;6;6;3;5;3;5;5;5;5;7;6;2;4;6;6;6;5;4;1;4;7;5;7;7;6;5;37;38;27;4;1;4;3
335;3;7;6;6;7;4;7;6;5;5;7;5;5;5;5;6;3;4;6;5;5;9;4;3;7;4;3;5;6;6;6;46;115;29;4;1;3;3
336;1;7;4;5;4;6;5;5;4;2;1;5;7;5;6;6;4;6;5;6;7;6;5;4;5;8;6;3;6;7;5;37;46;21;2;1;3;4
337;6;4;5;4;5;4;5;3;4;6;3;4;5;7;6;4;5;6;4;1;5;4;7;8;4;5;6;5;5;3;4;31;27;13;0;0;1;3
338;5;2;6;2;5;7;4;4;4;3;3;6;1;6;5;5;2;7;5;9;7;9;7;7;4;5;7;4;5;3;3;37;40;17;0;1;3;3
339;5;3;6;6;6;4;8;8;6;7;8;6;5;5;4;5;4;4;5;5;6;3;5;8;5;5;4;7;5;3;5;46;142;16;0;0;3;2
340;1;3;5;2;5;5;5;5;4;4;3;3;5;7;5;5;4;6;2;4;5;3;8;8;4;5;7;6;4;3;4;29;37;9;0;1;2;1
341;8;4;4;5;6;3;6;6;5;7;6;5;7;6;5;5;3;5;4;4;3;4;5;4;7;3;5;6;4;4;6;41;109;18;2;0;2;1
342;9;5;4;5;4;4;5;9;5;9;7;4;7;2;9;5;5;4;7;6;5;4;3;5;5;5;4;4;3;4;6;45;126;22;2;0;3;5
343;1;6;8;5;3;6;5;6;6;3;6;2;9;4;2;3;7;5;8;5;8;5;3;4;5;6;4;5;2;5;6;49;96;18;2;1;4;5
344;1;5;3;8;3;6;6;6;6;3;6;3;9;4;3;4;6;4;7;6;8;6;2;6;7;7;5;5;4;5;6;46;142;22;1;1;4;4
345;4;6;4;6;5;5;6;5;6;7;6;3;8;6;5;4;7;4;6;7;4;6;5;4;7;6;5;6;5;5;6;52;122;23;2;0;3;3
346;9;4;5;3;4;2;5;5;5;9;4;4;5;7;6;9;4;6;3;3;2;3;6;6;5;3;7;6;6;4;4;41;69;12;1;0;2;2
347;2;4;3;3;6;3;4;4;4;6;4;5;6;7;4;5;4;7;3;3;3;4;7;5;9;5;7;4;6;4;5;35;59;15;1;1;1;2
348;6;8;6;6;5;5;6;6;7;4;5;6;6;5;4;7;5;4;4;5;4;7;6;2;6;6;4;6;8;7;5;45;110;24;4;1;3;1
349;1;3;4;5;3;5;6;6;6;4;4;4;7;5;3;4;6;5;6;6;6;3;3;6;7;5;5;4;3;3;5;46;122;14;0;0;4;4
350;5;4;4;4;5;5;4;3;3;6;2;4;5;7;4;4;3;6;4;2;4;3;6;5;5;5;6;4;7;3;4;30;41;16;1;0;2;2
